DISTRICT,RANK,KEYWORD,COUNT
동구,1,한국,14
동구,2,광주광역시,12
동구,3,대학,8
동구,4,문화,8
동구,5,부문,8
동구,6,건립,7
동구,7,국가,7
동구,8,등록,7
동구,9,운동,7
동구,10,전쟁,6
동구,11,건축물,6
동구,12,대한민국,6
동구,13,본관,6
동구,14,중앙,6
동구,15,사용,6
동구,16,벽돌,6
동구,17,민주,6
동구,18,증심사,5
동구,19,시대,5
동구,20,당시,5
동구,21,장식,5
동구,22,중심,5
동구,23,좌우,5
동구,24,처리,5
동구,25,일제,5
동구,26,주거,5
동구,27,지붕,4
동구,28,기둥,4
동구,29,구성,4
동구,30,설치,4
서구,1,광주광역시,14
서구,2,옆면,5
서구,3,주거,5
서구,4,부문,5
서구,5,동상,5
서구,6,사당,4
서구,7,대상,4
서구,8,앞면,3
서구,9,규모,3
서구,10,강당,3
서구,11,금상,3
서구,12,한국,3
서구,13,문화,3
서구,14,도로,3
서구,15,정수,2
서구,16,위패,2
서구,17,지붕,2
서구,18,모양,2
서구,19,선조,2
서구,20,고려,2
서구,21,가운데,2
서구,22,준공,2
서구,23,우수,2
서구,24,공원,2
서구,25,기념물,1
서구,26,조선,1
서구,27,중기,1
서구,28,문신,1
서구,29,정희,1
서구,30,선생,1
남구,1,광주광역시,28
남구,2,문화,11
남구,3,건립,10
남구,4,주거,10
남구,5,부문,10
남구,6,정면,9
남구,7,사용,7
남구,8,금상,7
남구,9,측면,6
남구,10,고경명,6
남구,11,안채,6
남구,12,교회,6
남구,13,선교사,6
남구,14,지붕,6
남구,15,은상,6
남구,16,기와,5
남구,17,조선,5
남구,18,기둥,5
남구,19,양식,5
남구,20,운동,5
남구,21,가옥,5
남구,22,벽돌,5
남구,23,원형,5
남구,24,시민,5
남구,25,서원,4
남구,26,자료,4
남구,27,건축물,4
남구,28,일제,4
남구,29,근대,4
남구,30,규모,4
북구,1,광주광역시,15
북구,2,벽돌,10
북구,3,주거,7
북구,4,대한민국,6
북구,5,중앙,6
북구,6,구성,6
북구,7,배치,6
북구,8,자연,5
북구,9,가치,5
북구,10,측면,5
북구,11,건축가,5
북구,12,부문,5
북구,13,규모,4
북구,14,팔작지붕,4
북구,15,우수,4
북구,16,문화,4
북구,17,지금,4
북구,18,정면,4
북구,19,사용,4
북구,20,부분,4
북구,21,계획,4
북구,22,건축물,4
북구,23,건립,4
북구,24,한국,4
북구,25,본관,4
북구,26,장군,3
북구,27,환벽당,3
북구,28,원림,3
북구,29,창건,3
북구,30,중창,3
광산구,1,광주광역시,16
광산구,2,측면,9
광산구,3,자료,8
광산구,4,지붕,8
광산구,5,정자,8
광산구,6,정면,8
광산구,7,건립,8
광산구,8,옆면,6
광산구,9,조선,6
광산구,10,구성,6
광산구,11,기와,6
광산구,12,팔작지붕,5
광산구,13,중앙,5
광산구,14,서원,5
광산구,15,주거,5
광산구,16,부문,5
광산구,17,문화,5
광산구,18,규모,4
광산구,19,기대승,4
광산구,20,광산구,4
광산구,21,이후,4
광산구,22,형태,4
광산구,23,맞배지붕,4
광산구,24,중심,4
광산구,25,서재,4
광산구,26,생활,3
광산구,27,앞면,3
광산구,28,모양,3
광산구,29,중수,3
광산구,30,중기,3
